Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Current Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason,State,Average_Monthly_Charge,Churn,Net_Revenue,Sub_Services,Married_Gender,Persona
Female,71,Yes,0,Paramount,90723,33.897122,-118.164432,1,72,Offer A,Yes,20.48,Yes,Yes,DSL,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,88.05,6425.65,0.0,0,1474.56,7900.21,Stayed,Active,Active,California,89.24513888888889,0,6425.65,8,Married | Female,A - Premium Loyal Customers
Female,23,Yes,0,Sacramento,95837,38.691607,-121.602284,10,69,No_Offer,Yes,45.12,Yes,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,Yes,Credit Card,24.95,1718.35,0.0,0,3113.28,4831.63,Stayed,Active,Active,California,24.903623188405795,0,1718.35,0,Married | Female,D - Legacy Phone-Only Users
Male,33,No,0,Fallbrook,92028,33.362575,-117.299644,0,1,Offer E,Yes,16.81,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,No,Credit Card,20.1,20.1,0.0,0,16.81,36.91,Churned,Competitor,Competitor made better offer,California,20.1,1,20.1,0,Single | Male,D - Legacy Phone-Only Users
Male,57,Yes,1,Modesto,95351,37.621458,-121.012295,3,47,No_Offer,Yes,38.25,No,Yes,Fiber Optic,20.0,Yes,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,90.05,4137.2,0.0,0,1797.75,5934.95,Stayed,Active,Active,California,88.02553191489362,0,4137.2,5,Married | Male,A - Premium Loyal Customers
Male,28,Yes,0,Winters,95694,38.578604,-122.024579,9,60,Offer B,Yes,31.29,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,Yes,Bank Withdrawal,20.5,1198.8,0.0,0,1877.4,3076.2,Stayed,Active,Active,California,19.98,0,1198.8,0,Married | Male,D - Legacy Phone-Only Users
Male,58,No,1,San Jose,95136,37.270938,-121.851046,0,2,No_Offer,Yes,21.18,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,No,Credit Card,19.25,48.35,0.0,0,42.36,90.71,Joined,Active,Active,California,24.175,2,48.35,0,Single | Male,D - Legacy Phone-Only Users
Female,57,No,0,Hayward,94545,37.62984,-122.120843,0,2,No_Offer,Yes,48.34,Yes,Yes,Fiber Optic,28.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.0,174.8,0.0,0,96.68,271.48,Churned,Competitor,Competitor offered more data,California,87.4,1,174.8,4,Single | Female,E - Churn-Risk New Users
Male,37,No,0,Palmdale,93552,34.557711,-118.029441,0,53,Offer B,No,0.0,No,Yes,DSL,24.0,Yes,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,46.3,2546.85,0.0,0,0.0,2546.85,Stayed,Active,Active,California,48.053773584905656,0,2546.85,5,Single | Male,E - Churn-Risk New Users
Male,61,Yes,3,Soledad,93960,36.414216,-121.360597,10,34,Offer C,Yes,20.05,Yes,Yes,Fiber Optic,57.0,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,90.05,3097.0,0.0,0,681.7,3778.7,Stayed,Active,Active,California,91.08823529411764,0,3097.0,4,Married | Male,A - Premium Loyal Customers
Male,35,Yes,0,Hydesville,95547,40.557314,-124.081662,4,60,Offer B,Yes,43.57,No,Yes,DSL,30.0,Yes,Yes,Yes,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,65.85,3928.3,0.0,0,2614.2,6542.5,Stayed,Active,Active,California,65.47166666666666,0,3928.3,5,Married | Male,A - Premium Loyal Customers
Female,75,No,0,Citrus Heights,95610,38.69508,-121.271616,0,55,No_Offer,Yes,29.6,Yes,Yes,Fiber Optic,3.0,No,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,-2.0,5409.75,0.0,0,1628.0,7037.75,Stayed,Active,Active,California,98.35909090909092,0,5409.75,4,Single | Female,A - Premium Loyal Customers
Male,25,Yes,2,Mill Creek,96061,40.331975,-121.460674,5,53,No_Offer,Yes,24.33,No,Yes,Fiber Optic,52.0,No,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.55,4779.45,0.0,0,1289.49,6068.94,Stayed,Active,Active,Washington,90.17830188679244,0,4779.45,4,Married | Male,A - Premium Loyal Customers
Male,39,No,0,Greenwood,95635,38.921333,-120.897718,0,5,No_Offer,Yes,45.25,No,Yes,DSL,22.0,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Credit Card,70.0,347.4,0.0,10,226.25,583.65,Churned,Competitor,Competitor had better devices,Indiana,69.47999999999999,1,347.4,4,Single | Male,E - Churn-Risk New Users
Male,56,No,0,Coulterville,95311,37.722127,-120.110174,0,57,Offer B,No,0.0,No,Yes,DSL,30.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,53.75,3196.0,0.0,0,0.0,3196.0,Stayed,Active,Active,Illinois,56.07017543859649,0,3196.0,6,Single | Male,E - Churn-Risk New Users
Male,47,Yes,0,Salida,95368,37.713152,-121.08739,1,1,No_Offer,Yes,14.9,No,Yes,DSL,6.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.85,45.85,0.0,0,14.9,60.75,Churned,Other,Don't know,California,45.85,1,45.85,1,Married | Male,E - Churn-Risk New Users
Female,57,No,0,Walnut Creek,94596,37.900662,-122.052782,0,61,Offer B,Yes,4.51,Yes,Yes,Cable,24.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,86.45,5175.3,0.0,0,275.11,5450.41,Stayed,Active,Active,California,84.84098360655739,0,5175.3,7,Single | Female,A - Premium Loyal Customers
Male,71,Yes,1,Pine Valley,91962,32.800671,-116.483363,9,38,No_Offer,Yes,28.3,Yes,Yes,Fiber Optic,27.0,No,Yes,No,No,Yes,Yes,No,Yes,One Year,No,Bank Withdrawal,101.15,3741.85,0.0,0,1075.4,4817.25,Stayed,Active,Active,California,98.46973684210526,0,3741.85,4,Married | Male,A - Premium Loyal Customers
Female,30,No,0,Vernalis,95385,37.609095,-121.263381,0,60,No_Offer,Yes,22.88,No,Yes,Fiber Optic,48.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.95,6236.75,0.0,0,1372.8,7609.55,Stayed,Active,Active,California,103.94583333333334,0,6236.75,7,Single | Female,A - Premium Loyal Customers
Female,37,Yes,0,Compton,90222,33.912246,-118.236773,5,50,Offer B,Yes,26.95,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,No,Bank Withdrawal,20.15,930.9,0.0,0,1347.5,2278.4,Stayed,Active,Active,California,18.618,0,930.9,0,Married | Female,D - Legacy Phone-Only Users
Female,51,Yes,3,Newport Beach,92663,33.62251,-117.927024,1,9,No_Offer,Yes,23.36,Yes,Yes,DSL,22.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,55.3,501.2,0.0,0,210.24,711.44,Stayed,Active,Active,California,55.68888888888889,0,501.2,2,Married | Female,E - Churn-Risk New Users
Female,22,Yes,2,Canoga Park,91304,34.224377,-118.632656,5,71,No_Offer,Yes,22.36,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,No,Credit Card,19.7,1415.85,0.0,0,1587.56,3003.41,Stayed,Active,Active,California,19.94154929577465,0,1415.85,0,Married | Female,D - Legacy Phone-Only Users
Female,61,Yes,0,Hume,93628,36.807595,-118.901544,1,46,No_Offer,Yes,37.02,No,Yes,DSL,6.0,No,Yes,No,Yes,Yes,No,No,Yes,Two Year,Yes,Credit Card,64.2,3009.5,0.0,0,1702.92,4712.42,Stayed,Active,Active,Illinois,65.42391304347827,0,3009.5,4,Married | Female,A - Premium Loyal Customers
Male,24,Yes,3,Glendale,91201,34.17051,-118.289463,8,35,No_Offer,Yes,48.3,Yes,Yes,Fiber Optic,73.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,109.95,3782.4,31.9,0,1690.5,5441.0,Stayed,Active,Active,Arizona,108.06857142857145,0,3750.5,7,Married | Male,B - Balanced Bundle Seekers
Female,43,No,0,Westmorland,92281,33.03679,-115.60503,0,1,No_Offer,Yes,40.4,No,Yes,Cable,13.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,71.35,71.35,0.0,0,40.4,111.75,Churned,Dissatisfaction,Poor expertise of phone support,California,71.35,1,71.35,0,Single | Female,E - Churn-Risk New Users
Female,34,No,0,Amador City,95601,38.431407,-120.8421,0,23,Offer D,Yes,10.41,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,One Year,Yes,Credit Card,19.65,478.1,0.0,0,239.43,717.53,Stayed,Active,Active,California,20.78695652173913,0,478.1,0,Single | Female,D - Legacy Phone-Only Users
Female,45,No,0,Clements,95227,38.227285,-121.02789,0,1,Offer E,Yes,20.23,Yes,Yes,Fiber Optic,17.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,100.25,100.25,0.0,0,20.23,120.48,Churned,Other,Don't know,Minnesota,100.25,1,100.25,5,Single | Female,E - Churn-Risk New Users
Male,79,Yes,0,San Gabriel,91775,34.114772,-118.089431,5,21,No_Offer,Yes,42.95,No,Yes,DSL,30.0,Yes,Yes,No,No,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,-3.0,1339.8,0.0,0,901.95,2241.75,Stayed,Active,Active,California,63.8,0,1339.8,4,Married | Male,E - Churn-Risk New Users
Male,40,Yes,1,Jenner,95450,38.505995,-123.187019,2,16,No_Offer,Yes,31.99,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,No,Bank Withdrawal,19.75,313.4,0.0,0,511.84,825.24,Stayed,Active,Active,California,19.5875,0,313.4,0,Married | Male,D - Legacy Phone-Only Users
Male,19,Yes,0,Browns Valley,95918,39.292334,-121.320597,10,70,No_Offer,No,0.0,No,Yes,DSL,41.0,No,Yes,Yes,Yes,No,Yes,Yes,No,One Year,Yes,Bank Withdrawal,51.05,3635.15,0.0,120,0.0,3755.15,Stayed,Active,Active,Minnesota,51.93071428571429,0,3635.15,5,Married | Male,C - Data-Capped Digitals
Male,44,No,0,Apple Valley,92308,34.424926,-117.184503,0,66,No_Offer,Yes,30.96,No,Yes,Fiber Optic,11.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,105.65,6844.5,0.0,0,2043.36,8887.86,Stayed,Active,Active,California,103.70454545454544,0,6844.5,7,Single | Male,A - Premium Loyal Customers
Female,20,No,0,Cottonwood,96022,40.336392,-122.448533,0,1,Offer E,Yes,17.23,No,Yes,Fiber Optic,52.0,No,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,91.7,91.7,0.0,0,17.23,108.93,Churned,Attitude,Attitude of service provider,Arizona,91.7,1,91.7,5,Single | Female,E - Churn-Risk New Users
Male,49,No,5,Lakeside,92040,32.909873,-116.906774,0,14,No_Offer,Yes,40.66,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,No,Credit Card,19.95,268.4,0.0,0,569.24,837.64,Stayed,Active,Active,Florida,19.17142857142857,0,268.4,0,Single | Male,D - Legacy Phone-Only Users
Female,42,Yes,1,Ceres,95307,37.553469,-120.952825,7,46,No_Offer,Yes,27.65,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,No,Bank Withdrawal,20.25,890.35,0.0,0,1271.9,2162.25,Stayed,Active,Active,California,19.355434782608697,0,890.35,0,Married | Female,D - Legacy Phone-Only Users
Male,42,No,0,Happy Camp,96039,41.831901,-123.487478,0,49,No_Offer,Yes,18.97,Yes,Yes,Fiber Optic,3.0,No,No,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,100.6,5069.65,0.0,0,929.53,5999.18,Churned,Competitor,Competitor offered more data,California,103.46224489795918,1,5069.65,5,Single | Male,A - Premium Loyal Customers
Female,57,Yes,1,Upland,91784,34.141146,-117.655583,5,3,Offer E,Yes,23.72,No,Yes,Fiber Optic,17.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.7,239.45,0.0,0,71.16,310.61,Joined,Active,Active,California,79.81666666666666,2,239.45,2,Married | Female,E - Churn-Risk New Users
Male,63,Yes,1,San Joaquin,93660,36.600193,-120.153393,10,34,No_Offer,Yes,5.65,No,Yes,Fiber Optic,26.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,84.05,2909.95,0.0,0,192.1,3102.05,Stayed,Active,Active,California,85.58676470588235,0,2909.95,3,Married | Male,E - Churn-Risk New Users
Male,26,Yes,0,Santa Monica,90403,34.031529,-118.491156,4,68,Offer A,Yes,14.79,Yes,Yes,Fiber Optic,47.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,110.0,7611.85,0.0,0,1005.72,8617.57,Churned,Competitor,Competitor had better devices,California,111.93897058823528,1,7611.85,7,Married | Male,A - Premium Loyal Customers
Female,59,Yes,0,San Diego,92113,32.697098,-117.116587,1,50,No_Offer,Yes,35.33,Yes,Yes,Fiber Optic,17.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.4,4116.15,0.0,0,1766.5,5882.65,Churned,Competitor,Competitor had better devices,California,82.323,1,4116.15,2,Married | Female,A - Premium Loyal Customers
Male,19,No,0,Elk Creek,95939,39.53222,-122.594879,0,3,No_Offer,Yes,1.57,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,Yes,Bank Withdrawal,20.25,61.45,0.0,0,4.71,66.16,Joined,Active,Active,Kentucky,20.48333333333333,2,61.45,0,Single | Male,D - Legacy Phone-Only Users
Female,23,No,0,Orange Cove,93646,36.633498,-119.298895,0,25,Offer C,Yes,9.57,Yes,Yes,Fiber Optic,59.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,84.6,2088.05,0.0,0,239.25,2327.3,Stayed,Active,Active,California,83.522,0,2088.05,2,Single | Female,E - Churn-Risk New Users
Female,67,No,0,Ontario,91761,34.035602,-117.591528,0,19,No_Offer,Yes,7.95,No,Yes,Fiber Optic,12.0,Yes,Yes,No,Yes,Yes,Yes,No,No,One Year,Yes,Mailed Check,105.0,2007.25,0.0,20,151.05,2178.3,Stayed,Active,Active,California,105.64473684210526,0,2007.25,5,Single | Female,E - Churn-Risk New Users
Male,47,No,0,Jolon,93928,35.930782,-121.189757,0,65,Offer B,Yes,27.75,Yes,Yes,Fiber Optic,30.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,-3.0,6631.85,0.0,0,1803.75,8435.6,Stayed,Active,Active,California,102.02846153846154,0,6631.85,6,Single | Male,A - Premium Loyal Customers
Female,47,Yes,0,Marina Del Rey,90292,33.977468,-118.445475,1,3,No_Offer,Yes,38.09,Yes,Yes,Fiber Optic,30.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.75,264.85,0.0,0,114.27,379.12,Churned,Competitor,Competitor had better devices,California,88.28333333333335,1,264.85,3,Married | Female,E - Churn-Risk New Users
Female,39,Yes,0,Menlo Park,94025,37.449551,-122.183762,1,67,No_Offer,Yes,35.03,Yes,Yes,Fiber Optic,23.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,111.25,7511.65,0.0,0,2347.01,9858.66,Stayed,Active,Active,California,112.1141791044776,0,7511.65,7,Married | Female,A - Premium Loyal Customers
Female,51,No,0,Granada Hills,91344,34.291273,-118.505104,0,8,No_Offer,Yes,18.82,Yes,Yes,Fiber Optic,3.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.25,576.7,0.0,0,150.56,727.26,Stayed,Active,Active,California,72.0875,0,576.7,1,Single | Female,E - Churn-Risk New Users
Male,38,Yes,0,Raisin City,93652,36.594542,-119.905245,8,67,No_Offer,Yes,28.06,Yes,Yes,DSL,15.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Credit Card,70.9,4677.1,0.0,0,1880.02,6557.12,Stayed,Active,Active,California,69.80746268656716,0,4677.1,5,Married | Male,A - Premium Loyal Customers
Male,47,No,0,Standish,96128,40.346634,-120.386422,0,26,Offer C,Yes,3.26,No,Yes,DSL,6.0,No,No,No,Yes,Yes,No,No,Yes,One Year,No,Credit Card,59.45,1507.0,0.0,0,84.76,1591.76,Stayed,Active,Active,Michigan,57.96153846153846,0,1507.0,3,Single | Male,E - Churn-Risk New Users
Male,74,Yes,0,Newport Beach,92661,33.601309,-117.902304,1,57,No_Offer,Yes,49.91,Yes,Yes,Fiber Optic,21.0,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.25,5427.05,12.59,0,2844.87,8259.33,Churned,Attitude,Attitude of support person,California,95.21140350877194,1,5414.46,4,Married | Male,A - Premium Loyal Customers
Male,64,No,0,La Mesa,91942,32.782501,-117.01611,0,39,Offer C,Yes,36.17,Yes,Yes,Fiber Optic,5.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.25,3017.65,0.0,0,1410.63,4428.28,Churned,Competitor,Competitor made better offer,California,77.37564102564103,1,3017.65,1,Single | Male,E - Churn-Risk New Users
Male,28,Yes,1,Borrego Springs,92004,33.200369,-116.192313,1,47,Offer B,Yes,39.25,Yes,Yes,DSL,26.0,No,Yes,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,54.25,2538.2,0.0,0,1844.75,4382.95,Stayed,Active,Active,California,54.00425531914893,0,2538.2,3,Married | Male,A - Premium Loyal Customers
Male,26,No,0,Woodland,95776,38.694081,-121.694431,0,20,No_Offer,Yes,23.22,Yes,Yes,Fiber Optic,59.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,98.55,2031.95,0.0,0,464.4,2496.35,Stayed,Active,Active,California,101.5975,0,2031.95,5,Single | Male,E - Churn-Risk New Users
Male,35,Yes,0,Taft,93268,35.184837,-119.402525,1,17,No_Offer,Yes,13.68,No,Yes,Fiber Optic,11.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.4,1214.05,0.0,0,232.56,1446.61,Churned,Competitor,Competitor had better devices,California,71.41470588235293,1,1214.05,1,Married | Male,E - Churn-Risk New Users
Male,62,No,0,Inglewood,90302,33.975332,-118.355252,0,52,No_Offer,Yes,28.3,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,No,Bank Withdrawal,21.0,1107.2,0.0,0,1471.6,2578.8,Stayed,Active,Active,California,21.29230769230769,0,1107.2,0,Single | Male,D - Legacy Phone-Only Users
Male,22,Yes,2,Sun City,92585,33.739412,-117.173334,3,10,No_Offer,Yes,36.37,Yes,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,No,Credit Card,25.35,253.5,0.0,0,363.7,617.2,Stayed,Active,Active,Arizona,25.35,0,253.5,0,Married | Male,D - Legacy Phone-Only Users
Female,19,Yes,0,Pine Grove,95665,38.400264,-120.641274,0,61,No_Offer,Yes,10.21,No,Yes,Fiber Optic,69.0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,93.7,5860.7,0.0,0,622.81,6483.51,Stayed,Active,Active,California,96.07704918032786,0,5860.7,6,Married | Female,A - Premium Loyal Customers
Female,66,No,0,Los Angeles,90001,33.973616,-118.24902,0,8,Offer E,Yes,5.21,No,Yes,Fiber Optic,8.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,94.45,742.95,0.0,0,41.68,784.63,Churned,Competitor,Competitor had better devices,California,92.86875,1,742.95,4,Single | Female,E - Churn-Risk New Users
Female,70,Yes,0,Monterey Park,91755,34.049172,-118.115022,1,72,No_Offer,Yes,24.44,Yes,Yes,DSL,13.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,No,Credit Card,89.1,6352.4,0.0,0,1759.68,8112.08,Stayed,Active,Active,California,88.22777777777777,0,6352.4,7,Married | Female,A - Premium Loyal Customers
Male,45,No,0,Mira Loma,91752,33.999992,-117.535395,0,24,No_Offer,Yes,2.33,No,Yes,DSL,2.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,51.1,1269.6,0.0,0,55.92,1325.52,Stayed,Active,Active,California,52.9,0,1269.6,2,Single | Male,E - Churn-Risk New Users
Male,77,No,0,Forks Of Salmon,96031,41.232128,-123.194748,0,4,No_Offer,Yes,30.11,No,Yes,Fiber Optic,25.0,No,No,No,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,69.35,261.65,0.0,0,120.44,382.09,Stayed,Active,Active,California,65.4125,0,261.65,1,Single | Male,E - Churn-Risk New Users
Male,36,No,0,Petrolia,95558,40.274302,-124.210902,0,26,No_Offer,Yes,14.3,Yes,Yes,Fiber Optic,20.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,83.95,2254.2,0.0,0,371.8,2626.0,Churned,Competitor,Competitor offered higher download speeds,Texas,86.69999999999999,1,2254.2,3,Single | Male,E - Churn-Risk New Users
Female,59,Yes,0,Carmel Valley,93924,36.414611,-121.6386,10,66,No_Offer,Yes,37.38,Yes,Yes,Fiber Optic,8.0,Yes,Yes,No,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,89.0,5898.6,0.0,0,2467.08,8365.68,Stayed,Active,Active,California,89.37272727272727,0,5898.6,4,Married | Female,A - Premium Loyal Customers
Female,52,Yes,3,San Francisco,94112,37.720498,-122.443119,1,65,No_Offer,Yes,10.11,Yes,Yes,Cable,26.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,91.55,5963.95,0.0,0,657.15,6621.1,Stayed,Active,Active,California,91.75307692307692,0,5963.95,8,Married | Female,A - Premium Loyal Customers
Female,40,No,0,San Francisco,94129,37.797526,-122.464531,0,34,Offer C,Yes,5.32,No,Yes,DSL,23.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,79.95,2727.3,0.0,0,180.88,2908.18,Stayed,Active,Active,California,80.21470588235294,0,2727.3,7,Single | Female,E - Churn-Risk New Users
Female,41,Yes,0,Eureka,95501,40.796621,-124.15428,10,45,No_Offer,Yes,26.01,No,Yes,Cable,29.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,81.0,3533.6,0.0,0,1170.45,4704.05,Stayed,Active,Active,California,78.52444444444444,0,3533.6,7,Married | Female,A - Premium Loyal Customers
Female,43,Yes,2,San Francisco,94107,37.768881,-122.395521,4,71,Offer A,Yes,15.73,Yes,Yes,Fiber Optic,17.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Credit Card,99.0,7061.65,0.0,0,1116.83,8178.48,Stayed,Active,Active,California,99.45985915492956,0,7061.65,5,Married | Female,A - Premium Loyal Customers
Male,36,No,0,San Francisco,94110,37.750021,-122.415201,0,18,No_Offer,Yes,12.5,Yes,Yes,DSL,5.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,82.0,1425.45,0.0,0,225.0,1650.45,Churned,Dissatisfaction,Product dissatisfaction,California,79.19166666666666,1,1425.45,6,Single | Male,E - Churn-Risk New Users
Male,21,No,0,Sunol,94586,37.587494,-121.862856,0,2,No_Offer,Yes,23.52,No,Yes,DSL,48.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,-8.0,132.4,0.0,0,47.04,179.44,Joined,Active,Active,California,66.2,2,132.4,5,Single | Male,E - Churn-Risk New Users
Male,51,Yes,0,San Diego,92109,32.787836,-117.232376,1,8,No_Offer,Yes,47.91,No,Yes,Fiber Optic,23.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,609.9,0.0,0,383.28,993.18,Churned,Competitor,Competitor made better offer,California,76.2375,1,609.9,2,Married | Male,E - Churn-Risk New Users
Female,43,Yes,1,Bridgeville,95526,40.372532,-123.525626,1,3,No_Offer,No,0.0,No,Yes,DSL,19.0,No,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,31.0,95.05,0.0,20,0.0,115.05,Churned,Dissatisfaction,Poor expertise of online support,Pennsylvania,31.683333333333334,1,95.05,1,Married | Female,E - Churn-Risk New Users
Female,60,Yes,0,Chula Vista,91910,32.636792,-117.054989,10,12,Offer D,Yes,40.34,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,Yes,Bank Withdrawal,20.05,264.55,0.0,0,484.08,748.63,Stayed,Active,Active,California,22.04583333333333,0,264.55,0,Married | Female,D - Legacy Phone-Only Users
Female,35,No,0,Escondido,92025,33.081478,-117.033814,0,16,Offer D,Yes,20.65,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,One Year,No,Credit Card,20.1,296.15,0.0,0,330.4,626.55,Stayed,Active,Active,California,18.509375,0,296.15,0,Single | Female,D - Legacy Phone-Only Users
Female,77,No,0,Berkeley,94710,37.872902,-122.303708,0,72,Offer A,Yes,14.12,Yes,Yes,Fiber Optic,23.0,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,110.1,7746.7,44.81,0,1016.64,8718.53,Stayed,Active,Active,California,107.59305555555557,0,7701.889999999999,6,Single | Female,B - Balanced Bundle Seekers
